"Constant corr."
"2004-08-26" 0.0317511794042871
"2004-08-27" 0.417618089311299
"2004-08-30" 0.280379951550602
"2004-08-31" 0.43072144699537
"2004-09-01" 0.367678469217115
"2004-09-02" 0.187320367530999
"2004-09-03" 0.245821252264852
"2004-09-07" 0.342459969211983
"2004-09-08" -0.0214749989218721
"2004-09-09" -1.07727791385104
"2004-09-10" 0.130295308466002
"2004-09-13" -0.14528614682328
"2004-09-14" -0.413327550827785
"2004-09-15" 0.240247008864761
"2004-09-16" 0.762637368872008
"2004-09-17" 0.303897541861218
"2004-09-20" -0.568364158338119
"2004-09-21" -0.228100347588468
"2004-09-22" -0.6978421363307
"2004-09-23" -0.278187201740867
"2004-09-24" 0.394021894604256
"2004-09-27" 0.327723326620758
"2004-09-28" 0.029621984214292
"2004-09-29" 0.0660576614713039
