"Non-linear shrinkage"
"2004-08-26" 0.123892220031817
"2004-08-27" 0.34592985733654
"2004-08-30" 0.176460142161117
"2004-08-31" 0.465253066924808
"2004-09-01" 0.555390243898502
"2004-09-02" 0.317121563317541
"2004-09-03" 0.172363006154003
"2004-09-07" 0.31847726400519
"2004-09-08" -0.120791390458173
"2004-09-09" -0.963830634736527
"2004-09-10" 0.230110621577731
"2004-09-13" -0.201623740128004
"2004-09-14" -0.241981567449334
"2004-09-15" 0.0637849555743496
"2004-09-16" 0.720233343270315
"2004-09-17" -0.0281504945390555
"2004-09-20" -0.560806184371642
"2004-09-21" -0.230378078131935
"2004-09-22" -0.713369035474791
"2004-09-23" -0.147301375723443
"2004-09-24" 0.368223525315353
"2004-09-27" 0.170769910440704
"2004-09-28" 0.0081500943226354
"2004-09-29" 0.0269146625193795
