"EXPD.Adjusted" "WRB.Adjusted" "ALL.Adjusted" "PWR.Adjusted" "MKC.Adjusted" "PKI.Adjusted" "SWK.Adjusted" "ITW.Adjusted" "C.Adjusted" "MCO.Adjusted" "LEN.Adjusted" "KR.Adjusted" "RE.Adjusted" "PEP.Adjusted" "ABC.Adjusted" "ATO.Adjusted" "GS.Adjusted" "AEP.Adjusted" "ODFL.Adjusted" "CB.Adjusted" "MAS.Adjusted" "PAYX.Adjusted" "KMX.Adjusted" "CSX.Adjusted" "MTB.Adjusted" "MRO.Adjusted" "LEG.Adjusted" "D.Adjusted" "PH.Adjusted" "FRT.Adjusted" "SJM.Adjusted" "BLK.Adjusted" "PPG.Adjusted" "MGM.Adjusted" "HIG.Adjusted" "PLD.Adjusted" "WELL.Adjusted" "YUM.Adjusted" "CAH.Adjusted" "NVDA.Adjusted" "CHRW.Adjusted" "BAC.Adjusted" "SWKS.Adjusted" "HRL.Adjusted" "OMC.Adjusted" "CI.Adjusted" "TYL.Adjusted" "XEL.Adjusted" "CHD.Adjusted" "PEAK.Adjusted"
"12437" 0.0202036988917278 0.0209202396053175 0.0201517558344096 0.0228834487063233 0.0189563170174578 0.0215898802090037 0.0206148626114817 0.0200401068829883 0.0197937639261401 0.0197747605966701 0.0189248706439066 0.0201115447603906 0.0201746284532622 0.0191378649211137 0.0201017349256443 0.0194826965476011 0.0202615508582464 0.0198847382971106 0.0193162196010207 0.0207982422513772 0.0196813714401413 0.0189175930539895 0.0210882251997178 0.0184820281555154 0.0181917158482759 0.019683514676054 0.0200078029837755 0.0187922645171868 0.0199355955943511 0.0196928496141311 0.019955991711135 0.0203385334355826 0.0189023026551247 0.021043837573169 0.0211174092419959 0.0200013794298171 0.0198691627021169 0.0200762894370468 0.0196869038494181 0.0208757936246694 0.0198308160951783 0.0195781053109135 0.0219055323753381 0.0191736745799688 0.0194728863905605 0.0199494825496424 0.0213889667895171 0.0196184805967407 0.0194865665240441 0.020131998503689
"12438" 0.0201923279912331 0.0210462176606775 0.0198092758706416 0.0242286906608317 0.0190992491641435 0.0212587692724946 0.0204335751671446 0.0191122916486302 0.0196220161268921 0.0195639751522697 0.0187825741406017 0.0198525686622371 0.0200849644617515 0.0193278474539624 0.0200160066899971 0.0197013126841403 0.0201554412805283 0.0197519311522101 0.0201510344245395 0.0202748188740123 0.0194621577933001 0.0187964323479717 0.0211651605402993 0.0185945370732692 0.0183033637800347 0.0200080985432757 0.0199279494427965 0.0188906858835189 0.0188683550668757 0.0197716273108852 0.0200948515535068 0.020276959426943 0.01857784893558 0.0207132876149998 0.0208942452991675 0.0201300494049549 0.0198892493372642 0.019882151314035 0.0194122308624795 0.0213565464101893 0.0199573340413668 0.0197483788597052 0.0230008599083489 0.0195466337236028 0.0193908197885034 0.0199151540879974 0.0219031869404411 0.0196459190117176 0.0194689816966772 0.019942055461354
"12439" 0.0204387397578245 0.02095379864358 0.0201465317517266 0.0238781099728151 0.0191843556292806 0.0212372317696218 0.0207931862672503 0.0192435293393937 0.0199293706204947 0.0195454042259832 0.0191744040845368 0.0196765546390836 0.0202349266586166 0.0192762173849223 0.0200130496789544 0.0198385605454149 0.0202591311800055 0.0200513089843925 0.0195798203738692 0.0205328726436063 0.0197107293203907 0.0187997086442493 0.0221210326882573 0.0189319585610685 0.0181256769420984 0.0201030657242228 0.0201896196202976 0.0190090528428594 0.0190286246175927 0.0196238669025027 0.0198987735963847 0.020389681435635 0.0184019875278391 0.020491020468085 0.0209488278093673 0.0200096317189439 0.0196840129833414 0.0201412203185799 0.0194474486344879 0.0202316175003446 0.0199507768673869 0.0200677531318687 0.0217092765037593 0.0194831736360847 0.0191554387809799 0.0197747713636466 0.0213785765741508 0.0197727010857679 0.0192548053852766 0.020178064663158
"12440" 0.0199710284087983 0.0208727735976948 0.0200725205263262 0.0226633870098683 0.0191970196917956 0.0212772493564562 0.020778922026727 0.0191698006936813 0.0200659838330602 0.0197907161547458 0.0194590868480837 0.0195881614918822 0.0200997996244744 0.0194279590264859 0.0202443579911438 0.0197899486291427 0.0201012536162831 0.0202272820716777 0.0190773469614841 0.0202691136404219 0.0198903905473888 0.0189682899103951 0.0223102120233387 0.0190780334509123 0.0181948784138845 0.0198925629835867 0.0203308891487348 0.0191209192290142 0.0189305147000904 0.0196904789352645 0.0199609182286058 0.0206527549493146 0.018060417343082 0.0204193111559152 0.0207772572188646 0.0202091675068623 0.0197281347198158 0.0201534663288753 0.0204978107761778 0.0197638911342095 0.0197878201040624 0.0200373827762835 0.0221178223645982 0.0194666468354292 0.0191593655496832 0.0199662914257966 0.0208638202606151 0.0197561734458307 0.0192708089218274 0.0207998584113078
"12443" 0.0200070095620847 0.020905446919854 0.0199800252322107 0.0227619334712445 0.0192502649018988 0.0207977109024854 0.020656710974278 0.0192107745461697 0.0198669842685568 0.0196685690885807 0.0192139352717226 0.0195265652736212 0.0200057614292237 0.0193814210321015 0.0201377388949673 0.0199174101473084 0.0198622659460638 0.0200483169662374 0.0193842553610536 0.0200510547291839 0.019889057293454 0.019272604433633 0.0217367575011425 0.0190336205461296 0.0183637871181798 0.0199103107640529 0.0203675425522308 0.0188582615504318 0.0186791586589306 0.0198090401855309 0.0198444632397506 0.021177044526228 0.0178423570704329 0.0204903223376086 0.0207066214344694 0.0204533065130254 0.0199443475944542 0.0202215968305456 0.0205798208838588 0.0192649444285289 0.0199390024359337 0.019879600381859 0.023797996218793 0.0195591713314068 0.0191315412727953 0.0204204625259488 0.0212783212627875 0.0195097951969262 0.0189441534952254 0.0204608354968592
"12444" 0.0196838194644283 0.0211930696866419 0.02009810308572 0.0223923760311815 0.0196166724162813 0.021246323178833 0.0205893557053821 0.0189258170855981 0.019895525431826 0.0195947844947179 0.0189063193803137 0.0194045128445599 0.0200342847300987 0.0192768074992059 0.0198875674555467 0.0198089384091381 0.020195587465185 0.0198380893434853 0.0190917262583014 0.0201590752423834 0.0198444721412764 0.0191275793646155 0.021496381173544 0.0191303941026186 0.0184008265688468 0.0198905631332565 0.0200021287636347 0.0187886560238312 0.018832572418666 0.0199654933005819 0.0199892013213789 0.0206916055539832 0.0177691062493445 0.0206876486624365 0.0208528902190431 0.0203603179594513 0.0202251292622669 0.0200722051958955 0.020628181781619 0.0197997924430045 0.0197198395882009 0.0199045534869687 0.0245550357716734 0.0198788891102006 0.0189528926467369 0.0203294304692291 0.0212691533963376 0.0193164901553239 0.019096079409686 0.0205837351175199
"12445" 0.0196199344022196 0.0210032001190262 0.0200608645709603 0.0223630967099999 0.0197633706330456 0.022080628573717 0.0205317531994654 0.0188474057281973 0.0197158336938805 0.019938396539293 0.0191338779213189 0.0194681641690149 0.0200006996133578 0.019291925638508 0.0201278087850953 0.0199075852885391 0.0201135718737166 0.0199429630054093 0.0182863883702716 0.0202667815675832 0.0198465240555 0.0191465315970216 0.021093015016609 0.0184902380041544 0.0181333418975808 0.0199884769997811 0.0199030585858891 0.0190617449466886 0.0183082663402568 0.0204557303255207 0.0201859951937995 0.0212869639561981 0.0178772908959178 0.0209593508217764 0.0208551050527475 0.0206251877849684 0.0207097036117125 0.0195213259333663 0.0206632053844687 0.0187876501709296 0.01945372986377 0.0200078608659028 0.0234973116338286 0.0200557243521698 0.0191314547228245 0.0204679175585864 0.0210845028782802 0.0192793331633941 0.0193440725271672 0.0213151354565702
"12446" 0.0197362905696591 0.0210912742662529 0.0202306143549049 0.0221432504998933 0.0194874600442395 0.0233648916537793 0.0205999566303353 0.0188040405253868 0.0196114761930339 0.0201483554573392 0.0181123354036471 0.0194752125456191 0.0198611463429214 0.0194358454736157 0.0201661185573424 0.0202296889422626 0.0197899125210313 0.0204812114861406 0.0178505246162913 0.0203493492711746 0.0196755341304716 0.0195260673848814 0.0209261671250209 0.0179659967306619 0.0180681124784354 0.0196291028143586 0.0196887477005543 0.0195266520857039 0.0182781000177383 0.0208490461473972 0.0203554317503021 0.0207639439444396 0.0179656531288906 0.0207085768969761 0.0209356434716589 0.0208335548811128 0.0207074284175077 0.0194119275622585 0.0206643785544497 0.0189593646546622 0.0194873711740114 0.019870702143184 0.023322323481092 0.0204527287345937 0.0188213564201132 0.02049095822288 0.0203128976801126 0.019736149386144 0.0195530530966355 0.0215440744288816
"12447" 0.0199144164755059 0.0210368641877593 0.0201367677019091 0.0220105386930267 0.0195858805141881 0.0228254271142612 0.0197344506293142 0.0182998802342926 0.0198715070010746 0.0202295911293232 0.0182697580666736 0.0200691076730908 0.0196981663370159 0.0197574430429477 0.0200472136287523 0.0202619448102951 0.0200108274876955 0.0207718160735938 0.0176516892809265 0.0201307224998845 0.0194780953336412 0.0198432298042978 0.0206716799511633 0.0174821953530378 0.0179826899261959 0.0193281813694942 0.0228279966462316 0.0196519919590544 0.0179424283540401 0.0207939686070318 0.0203388465959561 0.0206852050052847 0.0177937540656251 0.0210420637792108 0.0209925380183252 0.0206380353826484 0.0205862818200581 0.0189297612947003 0.0209087008949376 0.018397315570419 0.0196977939880607 0.0199748117882556 0.0227392122450119 0.0205449111915437 0.0186305736298888 0.0207319336928618 0.0200933416927013 0.0198286824971333 0.0197358090410356 0.0213939579206233
"12450" 0.0195621158729584 0.0211572361483481 0.0203699742578414 0.0217187193445301 0.019343500282079 0.0229157938394592 0.0198919924493585 0.0183860626984022 0.0198249815006278 0.0205713381227055 0.0182311073080649 0.0195206055664641 0.019763237862763 0.0198115365244833 0.0198446666130047 0.0201671836902814 0.0199940912773322 0.0206724794457897 0.017519674622532 0.0205373458284482 0.0194179163238603 0.0198814582329951 0.0210923675281114 0.0170911151727124 0.0179206560470121 0.0190117494289767 0.0220379032028917 0.019523639918535 0.0179199640957326 0.0208662221690048 0.0200918648075748 0.0208620862745899 0.0178101187389904 0.0211283038381722 0.0212384162309599 0.0206368953450169 0.0213058592233017 0.0196526700351155 0.020895568317432 0.0186368756572871 0.0194505283319626 0.0200605919413074 0.0226005990876354 0.0205577020777021 0.0184185392426476 0.0210569235870262 0.0198666871720377 0.0198853184591523 0.0196550452820814 0.0216227709747013
"12451" 0.0196780651689773 0.0210642173695035 0.0204899168957318 0.02170803417987 0.0195661336666973 0.0232696421332033 0.0196627098356226 0.0182912143950615 0.019642940677906 0.020383355239832 0.0180772869006049 0.0196796443072939 0.0198358450627545 0.0200114201824529 0.01987352439307 0.0199735954066084 0.0199632821807755 0.0205680160272549 0.0173625208852258 0.0205322817499068 0.0194171884862966 0.0194689376800031 0.0209356955694287 0.0168795941428874 0.0177769451562397 0.0190319118911087 0.0220267379111282 0.0193425999531552 0.017735126949808 0.0211835699989161 0.0199915428472779 0.0214798518146832 0.0176784482211845 0.0209050607676837 0.0213305735477074 0.0207562957359957 0.0210304701194407 0.019478788525278 0.0211151916272543 0.0188576516381867 0.0195581832471654 0.0199996389062155 0.0225070803801084 0.02070661289597 0.018437791054575 0.0213284929168514 0.0197448724969908 0.0199851276887862 0.0197253927193394 0.0219509784519813
"12452" 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
